float_id,time,depth_dbar,temperature_C,salinity_psu
b'1902453 ',2025-09-22 02:10:55.000228864,302.0,11.251,34.953
b'1902453 ',2025-09-22 02:10:55.000228864,304.0,11.211,34.951
b'1902453 ',2025-09-22 02:10:55.000228864,306.0,11.184,34.948
b'1902453 ',2025-09-22 02:10:55.000228864,308.0,11.138,34.945
b'1902453 ',2025-09-22 02:10:55.000228864,310.0,11.114,34.943
b'1902453 ',2025-09-22 02:10:55.000228864,312.0,11.094,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,314.0,11.081,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,316.0,11.074,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,318.0,11.069,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,320.0,11.06,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,322.0,11.053,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,324.0,11.041,34.942
b'1902453 ',2025-09-22 02:10:55.000228864,326.0,11.018,34.94
b'1902453 ',2025-09-22 02:10:55.000228864,328.0,11.006,34.939
b'1902453 ',2025-09-22 02:10:55.000228864,330.0,10.975,34.937
b'1902453 ',2025-09-22 02:10:55.000228864,332.0,10.905,34.932
b'1902453 ',2025-09-22 02:10:55.000228864,334.0,10.829,34.929
b'1902453 ',2025-09-22 02:10:55.000228864,336.0,10.78,34.925
b'1902453 ',2025-09-22 02:10:55.000228864,338.0,10.71,34.922
b'1902453 ',2025-09-22 02:10:55.000228864,340.0,10.655,34.918
b'1902453 ',2025-09-22 02:10:55.000228864,342.0,10.638,34.916
b'1902453 ',2025-09-22 02:10:55.000228864,344.0,10.607,34.915
b'1902453 ',2025-09-22 02:10:55.000228864,346.0,10.576,34.915
b'1902453 ',2025-09-22 02:10:55.000228864,348.0,10.547,34.914
b'1902453 ',2025-09-22 02:10:55.000228864,350.0,10.507,34.913
b'1902453 ',2025-09-22 02:10:55.000228864,352.0,10.489,34.912
b'1902453 ',2025-09-22 02:10:55.000228864,354.0,10.465,34.909
b'1902453 ',2025-09-22 02:10:55.000228864,356.0,10.423,34.904
b'1902453 ',2025-09-22 02:10:55.000228864,358.0,10.382,34.899
b'1902453 ',2025-09-22 02:10:55.000228864,360.0,10.363,34.898
b'1902453 ',2025-09-22 02:10:55.000228864,362.0,10.353,34.898
b'1902453 ',2025-09-22 02:10:55.000228864,364.0,10.348,34.897
b'1902453 ',2025-09-22 02:10:55.000228864,366.0,10.341,34.896
b'1902453 ',2025-09-22 02:10:55.000228864,368.0,10.315,34.894
b'1902453 ',2025-09-22 02:10:55.000228864,370.0,10.269,34.891
b'1902453 ',2025-09-22 02:10:55.000228864,372.0,10.247,34.89
b'1902453 ',2025-09-22 02:10:55.000228864,374.0,10.229,34.889
b'1902453 ',2025-09-22 02:10:55.000228864,376.0,10.207,34.888
b'1902453 ',2025-09-22 02:10:55.000228864,378.0,10.183,34.887
b'1902453 ',2025-09-22 02:10:55.000228864,380.0,10.156,34.885
b'1902453 ',2025-09-22 02:10:55.000228864,382.0,10.145,34.884
b'1902453 ',2025-09-22 02:10:55.000228864,384.0,10.133,34.883
b'1902453 ',2025-09-22 02:10:55.000228864,386.0,10.107,34.882
b'1902453 ',2025-09-22 02:10:55.000228864,388.0,10.074,34.881
b'1902453 ',2025-09-22 02:10:55.000228864,390.0,10.05,34.881
b'1902453 ',2025-09-22 02:10:55.000228864,392.0,10.038,34.882
b'1902453 ',2025-09-22 02:10:55.000228864,394.0,10.017,34.882
b'1902453 ',2025-09-22 02:10:55.000228864,396.0,9.986,34.88
b'1902453 ',2025-09-22 02:10:55.000228864,398.0,9.964,34.879
b'1902453 ',2025-09-22 02:10:55.000228864,400.0,9.94,34.879
b'1902453 ',2025-09-22 02:10:55.000228864,402.0,9.929,34.881
b'1902453 ',2025-09-22 02:10:55.000228864,404.0,9.925,34.883
b'1902453 ',2025-09-22 02:10:55.000228864,406.0,9.922,34.885
b'1902453 ',2025-09-22 02:10:55.000228864,408.0,9.917,34.887
b'1902453 ',2025-09-22 02:10:55.000228864,410.0,9.916,34.888
b'1902453 ',2025-09-22 02:10:55.000228864,412.0,9.914,34.89
b'1902453 ',2025-09-22 02:10:55.000228864,414.0,9.914,34.892
b'1902453 ',2025-09-22 02:10:55.000228864,416.0,9.915,34.893
b'1902453 ',2025-09-22 02:10:55.000228864,418.0,9.912,34.893
b'1902453 ',2025-09-22 02:10:55.000228864,420.0,9.887,34.895
b'1902453 ',2025-09-22 02:10:55.000228864,422.0,9.859,34.895
b'1902453 ',2025-09-22 02:10:55.000228864,424.0,9.852,34.895
b'1902453 ',2025-09-22 02:10:55.000228864,426.0,9.844,34.896
b'1902453 ',2025-09-22 02:10:55.000228864,428.0,9.823,34.897
b'1902453 ',2025-09-22 02:10:55.000228864,430.0,9.81,34.898
b'1902453 ',2025-09-22 02:10:55.000228864,432.0,9.793,34.899
b'1902453 ',2025-09-22 02:10:55.000228864,434.0,9.783,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,436.0,9.77,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,438.0,9.739,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,440.0,9.728,34.901
b'1902453 ',2025-09-22 02:10:55.000228864,442.0,9.707,34.901
b'1902453 ',2025-09-22 02:10:55.000228864,444.0,9.699,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,446.0,9.694,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,448.0,9.693,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,450.0,9.693,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,452.0,9.694,34.901
b'1902453 ',2025-09-22 02:10:55.000228864,454.0,9.693,34.901
b'1902453 ',2025-09-22 02:10:55.000228864,456.0,9.689,34.902
b'1902453 ',2025-09-22 02:10:55.000228864,458.0,9.674,34.905
b'1902453 ',2025-09-22 02:10:55.000228864,460.0,9.664,34.905
b'1902453 ',2025-09-22 02:10:55.000228864,462.0,9.657,34.906
b'1902453 ',2025-09-22 02:10:55.000228864,464.0,9.638,34.904
b'1902453 ',2025-09-22 02:10:55.000228864,466.0,9.607,34.905
b'1902453 ',2025-09-22 02:10:55.000228864,468.0,9.574,34.901
b'1902453 ',2025-09-22 02:10:55.000228864,470.0,9.562,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,472.0,9.552,34.899
b'1902453 ',2025-09-22 02:10:55.000228864,474.0,9.551,34.899
b'1902453 ',2025-09-22 02:10:55.000228864,476.0,9.545,34.899
b'1902453 ',2025-09-22 02:10:55.000228864,478.0,9.535,34.899
b'1902453 ',2025-09-22 02:10:55.000228864,480.0,9.53,34.898
b'1902453 ',2025-09-22 02:10:55.000228864,482.0,9.524,34.898
b'1902453 ',2025-09-22 02:10:55.000228864,484.0,9.523,34.899
b'1902453 ',2025-09-22 02:10:55.000228864,486.0,9.523,34.9
b'1902453 ',2025-09-22 02:10:55.000228864,488.0,9.517,34.899
b'1902453 ',2025-09-22 02:10:55.000228864,490.0,9.513,34.898
b'1902453 ',2025-09-22 02:10:55.000228864,492.0,9.511,34.897
b'1902453 ',2025-09-22 02:10:55.000228864,494.0,9.473,34.895
b'1902453 ',2025-09-22 02:10:55.000228864,496.0,9.427,34.892
b'1902453 ',2025-09-22 02:10:55.000228864,498.0,9.412,34.89
b'1902453 ',2025-09-22 02:10:55.000228864,500.0,9.397,34.888
